site,period,date,stake,point1,point2,distance_cm,axis
S5-CAM-F2A,end,5/13/2026,1,ground,top,108.5,vertical
S5-CAM-F2A,end,5/13/2026,1,ground,grad1,53,vertical
S5-CAM-F2A,end,5/13/2026,1,ground,top,198,slant
S5-CAM-F2A,end,5/13/2026,1,ground,grad1,57.5,slant
S5-CAM-F2A,end,5/13/2026,2,ground,top,197,vertical
S5-CAM-F2A,end,5/13/2026,2,ground,grad2,156.5,vertical
S5-CAM-F2A,end,5/13/2026,3,ground,top,199,slant
S5-CAM-F2A,end,5/13/2026,3,ground,grad1,59,slant
S5-CAM-F2B,end,5/13/2026,1,ground,top,191,vertical
S5-CAM-F2B,end,5/13/2026,1,ground,grad3_vis,150,vertical
S5-CAM-F2B,end,5/13/2026,2,ground,top,185,vertical
S5-CAM-F2B,end,5/13/2026,2,ground,grad1_vis,145,vertical
S5-CAM-F2B,end,5/13/2026,3,ground,top,195,slant
S5-CAM-F2B,end,5/13/2026,3,ground,grad1,57,slant
S5-CAM-F3,end,5/13/2026,1,ground,top,250,vertical
S5-CAM-F3,end,5/13/2026,1,ground,grad1,75,vertical
S5-CAM-F3,end,5/13/2026,1,ground,top,214,slant
S5-CAM-F3,end,5/13/2026,1,ground,grad1,70.5,slant
S5-CAM-F3,end,5/13/2026,2,ground,top,197,vertical
S5-CAM-F3,end,5/13/2026,2,ground,grad1,58,vertical
S5-CAM-F3,end,5/13/2026,3,ground,top,212,vertical
S5-CAM-F3,end,5/13/2026,3,ground,top,198,slant
S5-CAM-F3,end,5/13/2026,3,ground,grad1,58,slant
S5-CAM-F3,end,5/13/2026,4,ground,top,194,vertical
S5-CAM-F3,end,5/13/2026,4,ground,top,206.5,slant
S5-CAM-F3,end,5/13/2026,4,ground,grad1,61,slant
S5-CAM-F3,end,5/13/2026,5,ground,top,229,vertical
S5-CAM-F3,end,5/13/2026,5,ground,grad1,82,vertical
S5-CAM-F3,end,5/13/2026,5,ground,top,225,slant
S5-CAM-F3,end,5/13/2026,5,ground,grad1,81,slant
S6-F-WX,end,5/13/2026,1,ground,top,165,vertical
S6-F-WX,end,5/13/2026,1,ground,grad2,126,vertical
S6-F-WX,end,5/13/2026,1,ground,top,171,slant
S6-F-WX,end,5/13/2026,1,ground,grad2,131,slant
S6-F-WX,end,5/13/2026,2,ground,top,193.5,vertical
S6-F-WX,end,5/13/2026,2,ground,grad2,146,vertical
S6-F-WX,end,5/13/2026,2,ground,top,175,slant
S6-F-WX,end,5/13/2026,2,ground,grad2,135,slant
S6-F-WX,end,5/13/2026,3,ground,top,192,vertical
S6-F-WX,end,5/13/2026,3,ground,grad2,150.5,vertical
S6-F-WX,end,5/13/2026,3,ground,top,188.5,slant
S6-F-WX,end,5/13/2026,3,ground,grad2,148.5,slant
S6-F-WX,end,5/13/2026,4,ground,top,163,vertical
S6-F-WX,end,5/13/2026,4,ground,grad2,127,vertical
S6-F-WX,end,5/13/2026,4,ground,top,174,slant
S6-F-WX,end,5/13/2026,4,ground,grad2,134,slant
S6-F-WX,end,5/13/2026,5,ground,top,184,vertical
S6-F-WX,end,5/13/2026,5,ground,grad2,141.5,vertical
S6-F-WX,end,5/13/2026,5,ground,top,179,slant
S6-F-WX,end,5/13/2026,5,ground,grad2,138,slant
