camera_id,width,height,s1_pole_length_px,s1_pole_length_cm,s1_pixel_cm_conversion,s2_pole_length_px,s2_pole_length_cm,s2_pixel_cm_conversion,s3_pole_length_px,s3_pole_length_cm,s3_pixel_cm_conversion,s4_pole_length_px,s4_pole_length_cm,s4_pixel_cm_conversion,s5_pole_length_px,s5_pole_length_cm,s5_pixel_cm_conversion
CC1,2048,1536,821.0702693869893,178.0,0.2167902147192526,666.0998845320819,181.75,0.2728569756886758,898.3311031810169,213.75,0.2379412214974021,,,,,,
CC2,2048,1536,940.7776838580171,229.0,0.24341563785919995,624.9410209251246,223.0,0.356833673151883,663.431825908627,181.0,0.272823812382086,,,,,,
CTRL1,2048,1536,726.9526071186664,186.5,0.25655042457197774,896.969104793224,223.75,0.24945117820036902,680.8786691212323,185.5,0.27244207876186416,,,,,,
CTRL2,2048,1536,662.0896402040797,183.25,0.27677521119876725,754.735489935762,216.0,0.2861929813561364,957.5069420744143,177.5,0.1853772460546874,,,,,,
S5-CAM-F1A,1920,1080,1050.1145655148248,199.5,0.18997927135901974,722.6542041010445,197.5,0.2732980710264916,992.9760261137908,206.0,0.20745717377107478,,,,,,
S5-CAM-F1B,2048,1536,1067.7381212926184,197.25,0.18473630946247985,817.7620031999228,199.0,0.2433470853638444,791.1716471934114,197.75,0.24994576170859373,,,,,,
S5-CAM-F2A,2048,1536,1012.7537231447325,198.0,0.19550656341719896,,,,1140.2431389480394,199.0,0.17452418103001485,,,,,,
S5-CAM-F2B,1920,1080,,,,,,,687.1765603272921,195.0,0.28376986535618204,,,,,,
S5-CAM-F3,2048,1536,1038.9098376994084,214.0,0.20598515119838282,,,,987.233353390278,198.0,0.20056048483374694,755.5982998193084,206.5,0.2732933624246929,868.263165330958,225.0,0.2591380228760899
S5-F-WX,1920,1080,951.6561360323922,194.0,0.20385514541924488,1003.5940326940467,198.0,0.1972909299475297,,,,,,,,,
S6-F-WX,2048,1536,855.062702198258,171.0,0.19998533389467305,1226.7714789364932,175.0,0.14265085470662406,916.2942644089646,188.5,0.20571993880327055,740.9618363230713,174.0,0.23482990819534352,967.1875293468461,179.0,0.18507269228427806
